run,ground truth source,prompt name,configuration source,associatedTaxa,collectedBy,country,firstPoliticalUnit,habitat,identifiedBy,latestScientificName,locality,maximumEventDate,minimumEventDate,municipality,originalMethod,otherCatalogNumbers,recordNumber,secondPoliticalUnit,secondaryCollectors,typeStatus,verbatimCollectors,verbatimCoordinates,verbatimDateIdentified,verbatimElevation,verbatimEventDate,verbatimIdentification,verbatimLocality,matchValid,matchNonValid,noMatchValid,noMatchNonValid,gradedMatchValid,gradedNoMatchValid,skippedValid,skippedNonValid,NumValidTargets,NumAllTargets,PercentSkippedValidTargets,PercentSkippedAllTargets,Correct:matchValid+matchNonValid,Errors:noMatchValid+noMatchNonValid,MV+MNV/MV+MNV+NMV+NMNV,all targets:accuracy,MV/MV+NMV+NMNV,valid targets:accuracy
nova-lite-2025-05-31-1011-nova-lite-2025-05-31-1632-cross-validated_values-transcriptions.csv,100-bryophytes-typed.csv,Prompt 1.5.2.txt,nova_cross_validation.yaml,"[0, 0, 5]","[19, 32.1, 51]","[93, 93.1, 94]","[43, 48.5, 57]","[0, 6.2, 36]","[14, 26.1, 41]","[60, 64.7, 66]","[0, 0.9, 3]","[3, 3.8, 6]","[66, 71.9, 78]","[1, 1.4, 16]","[97, 97, 97]","[5, 9.7, 29]","[14, 23.1, 71]","[2, 2.0, 16]","[3, 5.2, 16]","[94, 94, 94]","[6, 16.0, 26]","[3, 4.0, 11]","[16, 16, 29]","[6, 30.9, 45]","[49, 59.0, 67]","[22, 31.3, 35]","[2, 7.0, 13]",618,389,336,48,743.9300744404134,210.06992555958684,801,208,1755,2400,0.4564102564102564,0.42041666666666666,1007,384,618+389/618+389+336+48,0.723939611790079,618/618+336+48,0.6167664670658682
nova-lite-2025-05-31-1011-nova-pro-2025-05-31-1234-cross-validated_values-transcriptions.csv,100-bryophytes-typed.csv,Prompt 1.5.2.txt,nova_cross_validation.yaml,"[0, 0, 0]","[15, 19.9, 25]","[94, 94, 94]","[41, 44.6, 50]","[0, 5.4, 24]","[9, 18.0, 26]","[49, 50.9, 53]","[0, 1.1, 2]","[3, 3, 3]","[65, 70.1, 73]","[0, 0, 7]","[88, 88, 88]","[7, 8.1, 12]","[10, 12.7, 22]","[1, 1.9, 4]","[2, 2, 7]","[96, 96, 96]","[5, 7.8, 10]","[1, 2.3, 6]","[15, 15, 19]","[6, 28.8, 39]","[49, 55.6, 57]","[15, 19.8, 21]","[1, 2.4, 5]",572,412,155,16,647.3596525343269,79.64034746567302,1028,217,1755,2400,0.5857549857549857,0.51875,984,171,572+412/572+412+155+16,0.8519480519480519,572/572+155+16,0.7698519515477793
nova-lite-2025-05-31-1011-nova-pro-2025-05-31-1714-cross-validated_values-transcriptions.csv,100-bryophytes-typed.csv,Prompt 1.5.2.txt,nova_cross_validation.yaml,"[0, 0, 1]","[17, 22.6, 28]","[94, 94, 94]","[40, 43.6, 51]","[1, 4.4, 25]","[10, 18.7, 28]","[49, 50.9, 52]","[0, 0.5, 3]","[3, 3, 3]","[64, 70.0, 73]","[0, 0, 5]","[79, 79, 79]","[3, 4.2, 13]","[8, 10.3, 21]","[0, 0.9, 5]","[2, 2.9, 6]","[96, 96, 96]","[4, 6.6, 10]","[1, 1.8, 4]","[16, 16.2, 24]","[6, 23.6, 29]","[48, 55.9, 61]","[16, 18.5, 19]","[2, 2.7, 4]",559,375,154,21,626.4144877159167,86.5855122840834,1042,249,1755,2400,0.5937321937321938,0.5379166666666667,934,175,559+375/559+375+154+21,0.842200180342651,559/559+154+21,0.7615803814713896
nova-lite-2025-05-31-1011-nova-premium-2025-05-31-1539-cross-validated_values-transcriptions.csv,100-bryophytes-typed.csv,Prompt 1.5.2.txt,nova_cross_validation.yaml,"[0, 0, 2]","[17, 23.3, 30]","[64, 64, 64]","[30, 31.3, 33]","[0, 4.1, 12]","[11, 21.1, 29]","[46, 47.0, 49]","[0, 0, 0]","[0, 0, 0]","[42, 44.6, 46]","[0, 0, 4]","[64, 64, 64]","[1, 1.3, 3]","[6, 6.5, 7]","[2, 2.9, 7]","[2, 2.9, 7]","[63, 63, 63]","[4, 10.2, 15]","[2, 3.0, 5]","[9, 9, 14]","[5, 21.2, 28]","[34, 42.8, 45]","[16, 21.0, 24]","[2, 3.3, 5]",420,292,122,14,486.54633830281443,55.453661697185495,633,127,1175,1608,0.5387234042553192,0.472636815920398,712,136,420+292/420+292+122+14,0.839622641509434,420/420+122+14,0.7553956834532374
nova-lite-2025-05-31-1011-nova-premium-2025-05-31-1843-cross-validated_values-transcriptions.csv,100-bryophytes-typed.csv,Prompt 1.5.2.txt,nova_cross_validation.yaml,"[0, 0, 2]","[17, 23.3, 30]","[64, 64, 64]","[30, 31.3, 33]","[0, 4.1, 12]","[11, 21.1, 29]","[46, 47.0, 49]","[0, 0, 0]","[0, 0, 0]","[42, 44.6, 46]","[0, 0, 4]","[64, 64, 64]","[1, 1.3, 3]","[6, 6.5, 7]","[2, 2.9, 8]","[2, 2.9, 7]","[63, 63, 63]","[4, 10.2, 15]","[2, 3.0, 5]","[9, 9, 14]","[5, 21.2, 28]","[34, 42.8, 45]","[16, 21.0, 24]","[2, 3.3, 5]",420,292,122,15,486.54633830281443,55.453661697185495,633,126,1175,1608,0.5387234042553192,0.47201492537313433,712,137,420+292/420+292+122+15,0.8386336866902238,420/420+122+15,0.7540394973070018
nova-lite-2025-05-31-1632-nova-pro-2025-05-31-1234-cross-validated_values-transcriptions.csv,100-bryophytes-typed.csv,Prompt 1.5.2.txt,nova_cross_validation.yaml,"[0, 0, 0]","[13, 20.8, 26]","[94, 94.2, 95]","[41, 44.6, 51]","[0, 6.3, 25]","[10, 20.1, 28]","[49, 51.4, 53]","[1, 1.3, 2]","[3, 3, 4]","[70, 74.2, 78]","[1, 1, 7]","[89, 89, 89]","[3, 4.7, 13]","[15, 17.9, 28]","[2, 2.6, 6]","[1, 2.9, 5]","[98, 98, 98]","[4, 7.7, 11]","[2, 2, 5]","[15, 15.4, 20]","[6, 30.1, 41]","[52, 58.0, 60]","[17, 20.2, 22]","[1, 2.9, 6]",587,405,173,13,668.1239963636125,91.87600363638748,995,227,1755,2400,0.5669515669515669,0.5091666666666667,992,186,587+405/587+405+173+13,0.8421052631578947,587/587+173+13,0.759379042690815
nova-lite-2025-05-31-1632-nova-pro-2025-05-31-1714-cross-validated_values-transcriptions.csv,100-bryophytes-typed.csv,Prompt 1.5.2.txt,nova_cross_validation.yaml,"[0, 0, 2]","[17, 22.9, 26]","[94, 94.3, 96]","[37, 39.5, 43]","[0, 3.5, 26]","[12, 21.8, 31]","[49, 53.7, 57]","[0, 0.1, 1]","[3, 3, 3]","[68, 71.3, 74]","[1, 1, 6]","[80, 80, 80]","[1, 2.3, 11]","[10, 12.7, 23]","[1, 1.6, 9]","[2, 2.9, 8]","[98, 98, 98]","[2, 4.9, 8]","[2, 2, 6]","[15, 15.4, 23]","[5, 23.3, 30]","[52, 55.2, 58]","[22, 25.5, 27]","[2, 2.5, 3]",573,387,149,27,637.5258656604524,84.47413433954766,1033,231,1755,2400,0.5886039886039887,0.5266666666666666,960,176,573+387/573+387+149+27,0.8450704225352113,573/573+149+27,0.7650200267022697
nova-lite-2025-05-31-1632-nova-premium-2025-05-31-1539-cross-validated_values-transcriptions.csv,100-bryophytes-typed.csv,Prompt 1.5.2.txt,nova_cross_validation.yaml,"[0, 0, 1]","[18, 22.3, 25]","[64, 64, 64]","[29, 31.3, 34]","[0, 6.2, 14]","[12, 21.5, 29]","[45, 48.4, 52]","[1, 1, 1]","[0, 0, 0]","[46, 48.6, 49]","[0, 0, 5]","[65, 65, 65]","[0, 0.6, 3]","[7, 7, 7]","[2, 2, 6]","[1, 1.8, 4]","[66, 66, 66]","[6, 10.0, 14]","[2, 3.9, 7]","[9, 9.4, 16]","[5, 21.4, 29]","[35, 44.5, 46]","[21, 24.0, 25]","[3, 4.0, 5]",437,290,118,12,502.9431204687653,52.05687953123459,620,131,1175,1608,0.5276595744680851,0.4670398009950249,727,130,437+290/437+290+118+12,0.8483080513418904,437/437+118+12,0.7707231040564374
nova-lite-2025-05-31-1632-nova-premium-2025-05-31-1843-cross-validated_values-transcriptions.csv,100-bryophytes-typed.csv,Prompt 1.5.2.txt,nova_cross_validation.yaml,"[0, 0, 1]","[18, 22.3, 25]","[64, 64, 64]","[29, 31.3, 34]","[0, 6.2, 14]","[12, 21.5, 29]","[45, 48.4, 52]","[1, 1, 1]","[0, 0, 0]","[46, 48.6, 49]","[0, 0, 5]","[65, 65, 65]","[0, 0.6, 3]","[7, 7, 7]","[2, 2, 7]","[1, 1.8, 4]","[66, 66, 66]","[6, 10.0, 14]","[2, 3.9, 7]","[9, 9.4, 16]","[5, 21.4, 29]","[35, 44.5, 46]","[21, 24.0, 25]","[3, 4.0, 5]",437,291,118,13,502.9431204687653,52.05687953123459,620,129,1175,1608,0.5276595744680851,0.4657960199004975,728,131,437+291/437+291+118+13,0.8474970896391153,437/437+118+13,0.7693661971830986
nova-pro-2025-05-31-1234-nova-pro-2025-05-31-1714-cross-validated_values-transcriptions.csv,100-bryophytes-typed.csv,Prompt 1.5.2.txt,nova_cross_validation.yaml,"[0, 0, 1]","[30, 38.7, 48]","[96, 96.2, 97]","[41, 49.3, 62]","[0, 9.2, 31]","[11, 29.0, 49]","[49, 61.3, 64]","[1, 1.9, 4]","[4, 4, 4]","[73, 79.8, 82]","[1, 1, 11]","[72, 72.1, 73]","[38, 39.9, 48]","[41, 45.4, 57]","[1, 5.1, 16]","[1, 2.5, 6]","[100, 100, 100]","[15, 24.6, 34]","[1, 4.5, 8]","[18, 18.9, 25]","[6, 32.0, 41]","[59, 68.4, 72]","[23, 37.3, 41]","[1, 4.0, 13]",682,434,284,21,824.893444044583,141.1065559554169,789,190,1755,2400,0.4495726495726496,0.40791666666666665,1116,305,682+434/682+434+284+21,0.7853624208304011,682/682+284+21,0.690982776089159
nova-pro-2025-05-31-1234-nova-premium-2025-05-31-1539-cross-validated_values-transcriptions.csv,100-bryophytes-typed.csv,Prompt 1.5.2.txt,nova_cross_validation.yaml,"[0, 0, 0]","[12, 15.9, 21]","[67, 67, 67]","[27, 27.6, 30]","[0, 7.5, 14]","[7, 15.2, 20]","[37, 39.9, 41]","[3, 4.4, 5]","[0, 0, 0]","[48, 52.4, 54]","[0, 0, 4]","[57, 57, 57]","[24, 24.7, 28]","[26, 26.8, 31]","[2, 3.7, 6]","[1, 1.5, 5]","[67, 67, 67]","[11, 12.5, 14]","[2, 3.0, 6]","[10, 10.9, 15]","[6, 21.8, 29]","[37, 43.5, 45]","[14, 18.7, 20]","[1, 2.8, 5]",459,320,118,7,523.5979647527143,53.40203524728566,598,106,1175,1608,0.5089361702127659,0.43781094527363185,779,125,459+320/459+320+118+7,0.8617256637168141,459/459+118+7,0.785958904109589
nova-pro-2025-05-31-1234-nova-premium-2025-05-31-1843-cross-validated_values-transcriptions.csv,100-bryophytes-typed.csv,Prompt 1.5.2.txt,nova_cross_validation.yaml,"[0, 0, 0]","[12, 15.9, 21]","[67, 67, 67]","[27, 27.6, 30]","[0, 7.5, 14]","[7, 15.2, 20]","[37, 39.9, 41]","[3, 4.4, 5]","[0, 0, 0]","[48, 52.4, 54]","[0, 0, 4]","[57, 57, 57]","[24, 24.7, 28]","[26, 26.8, 31]","[2, 3.7, 7]","[1, 1.5, 5]","[67, 67, 67]","[11, 12.5, 14]","[2, 3.0, 6]","[10, 10.9, 15]","[6, 21.8, 29]","[37, 43.5, 45]","[14, 18.7, 20]","[1, 2.8, 5]",459,321,118,8,523.5979647527143,53.40203524728566,598,104,1175,1608,0.5089361702127659,0.43656716417910446,780,126,459+321/459+321+118+8,0.8609271523178808,459/459+118+8,0.7846153846153846
nova-pro-2025-05-31-1714-nova-premium-2025-05-31-1539-cross-validated_values-transcriptions.csv,100-bryophytes-typed.csv,Prompt 1.5.2.txt,nova_cross_validation.yaml,"[0, 0, 1]","[20, 23.7, 27]","[66, 66, 66]","[29, 29.6, 31]","[0, 3.9, 13]","[8, 16.3, 22]","[37, 39.6, 42]","[1, 1.9, 2]","[0, 0, 0]","[47, 50.5, 51]","[1, 1, 7]","[52, 52, 52]","[20, 21.5, 25]","[25, 26.6, 34]","[1, 1.9, 5]","[1, 1.9, 4]","[67, 67, 67]","[10, 14.6, 18]","[2, 3.0, 5]","[11, 11.9, 16]","[4, 18.3, 24]","[40, 45.6, 47]","[20, 22.6, 23]","[2, 4.6, 7]",464,300,118,7,523.8356282251359,58.16437177486398,593,126,1175,1608,0.5046808510638298,0.44713930348258707,764,125,464+300/464+300+118+7,0.859392575928009,464/464+118+7,0.7877758913412564
nova-pro-2025-05-31-1714-nova-premium-2025-05-31-1843-cross-validated_values-transcriptions.csv,100-bryophytes-typed.csv,Prompt 1.5.2.txt,nova_cross_validation.yaml,"[0, 0, 1]","[20, 23.7, 27]","[66, 66, 66]","[29, 29.6, 31]","[0, 3.9, 13]","[8, 16.3, 22]","[37, 39.6, 42]","[1, 1.9, 2]","[0, 0, 0]","[47, 50.5, 51]","[1, 1, 7]","[52, 52, 52]","[20, 21.5, 25]","[25, 26.6, 34]","[1, 1.9, 6]","[1, 1.9, 4]","[67, 67, 67]","[10, 14.6, 18]","[2, 3.0, 5]","[11, 11.9, 16]","[4, 18.3, 24]","[40, 45.6, 47]","[20, 22.6, 23]","[2, 4.6, 7]",464,301,118,8,523.8356282251359,58.16437177486398,593,124,1175,1608,0.5046808510638298,0.4458955223880597,765,126,464+301/464+301+118+8,0.8585858585858586,464/464+118+8,0.7864406779661017
nova-premium-2025-05-31-1539-nova-premium-2025-05-31-1843-cross-validated_values-transcriptions.csv,100-bryophytes-typed.csv,Prompt 1.5.2.txt,nova_cross_validation.yaml,"[0, 0, 9]","[34, 48.9, 67]","[67, 67, 67]","[43, 49.2, 63]","[4, 23.1, 54]","[16, 34.6, 55]","[52, 60.9, 67]","[7, 31.3, 54]","[0, 0.9, 1]","[54, 62.7, 66]","[2, 2, 16]","[66, 66.2, 67]","[32, 44.2, 66]","[35, 38.1, 67]","[4, 6.6, 24]","[6, 11.5, 26]","[67, 67, 67]","[21, 42.1, 67]","[5, 17.5, 30]","[12, 13.1, 30]","[7, 40.2, 57]","[45, 61.9, 66]","[35, 56.2, 67]","[4, 34.8, 67]",618,368,539,63,879.9261134606877,277.0738865393113,18,2,1175,1608,0.015319148936170212,0.012437810945273632,986,602,618+368/618+368+539+63,0.6209068010075567,618/618+539+63,0.5065573770491804
